"Officiële naam";"Alternatieve naam";"Afkorting";"Type";"Subtype";"Startdatum";"Einddatum";"Datum ter verificatie";"Laatste mutatie";"Classificaties";"Onderdeel van";"Organisatiebeschrijving/doel";"Link naar uitgebreidere organisatiebeschrijving";"Adressen (type, toelichting, straat, huisnummer, toevoeging, postbus, postcode, plaats, regio, provincieAfkorting, land, centroideLatitude, centroideLongitude, centroideRdx, centroideRdy)";"Online afspraak url";"Afspraak per email";"Telefonische afspraak";"Telefoonnummers ";"Fax";"E-mail adressen";"Internetpagina's";"Sociale Media";"Contactformulieren";"Beschrijving contactgegevens";"Relatie met ministerie";"Link naar organogram";"Oppervlakte (km2)";"Wateroppervlakte (km2)";"Bevat plaatsen";"Aantal inwoners";"Inwoners per km2";"Totaal aantal zetels";"Raad (Partij (aantal zetels))";"Beleidsterreinen";"Datum van publiceren begroting";"Actieve afwijkingen van de Regeling";"OWMS URI";"TOOi URI";"KVK-nummer";"btw-nummer";"Loonheffingennummer";"OIN";"Organisatiecode";"Actieve beheerder ROO"
"Gemeente Doetinchem";"";"Doetinchem";"Gemeente";"";"01-01-1920";"";"09-06-2025";"09-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Doetinchem levert een wezenlijke bijdrage aan het leven van bijna 60.000 inwoners. Aan de zorg en de kansen van morgen. Aan een leefbare, bereikbare, schone en veilige plek in Nederland. En niet zomaar een plek: we zijn de centrumgemeente van de Achterhoek, een van de allermooiste stukjes Nederland.";"https://www.doetinchem.nl/organisatie";"adresType: Bezoekadres, openbareRuimte: Raadhuisstraat, huisnummer: 2, postcode: 7001 EW, woonplaats: DOETINCHEM, provincieAfkorting: GD, centroideLatitude: 51.96304418, centroideLongitude: 6.29228771, centroideRdx: 217204.1, centroideRdy: 442011.71;adresType: Postadres, postbus: 9020, postcode: 7000 HA, woonplaats: DOETINCHEM;adresType: Woo-Adres, postbus: 9020, postcode: 7000 HA, woonplaats: Doetinchem, provincieAfkorting: Gld, land: Nederland";"https://www.doetinchem.nl/afspraakmaken";"gemeente@doetinchem.nl";"(0314) 37 73 77";"(0314) 37 73 77, label: algemeen";"";"gemeente@doetinchem.nl, label: algemeen";"https://www.doetinchem.nl, label: algemeen";"";"";"";"";"https://www.doetinchem.nl/organisatie";"79,66";"";"Doetinchem, Gaanderen, Wehl";"60049";"753";"31";"CDA (5);VVD (4);PvdA (4);GBD (3);D66 (3);Partij voor Lokaal Maatwerk (3);SP (3);Lokaal Belang Doetinchem (2);GroenLinks (2);ChristenUnie (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Doetinchem";"https://identifier.overheid.nl/tooi/id/gemeente/gm0222";"09215668";"";"";"";"gm0222";"Ja"
"Gemeente Dongen";"";"Dongen";"Gemeente";"";"";"";"02-06-2025";"02-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.dongen.nl/college";"adresType: Bezoekadres, openbareRuimte: Hoge Ham, huisnummer: 62, postcode: 5104 JJ, woonplaats: DONGEN, provincieAfkorting: NB, centroideLatitude: 51.63022817, centroideLongitude: 4.9366002, centroideRdx: 123801.529, centroideRdy: 404693.2;adresType: Postadres, postbus: 10153, postcode: 5100 GE, woonplaats: DONGEN;adresType: Woo-Adres, openbareRuimte: Hoge Ham, huisnummer: 62, postbus: 10153, postcode: 5104JJ, woonplaats: Dongen, provincieAfkorting: NB, land: Nederland, centroideLatitude: 51.63022817, centroideLongitude: 4.93660013, centroideRdx: 123801.529, centroideRdy: 404693.2";"";"info@dongen.nl";"0140162";"0140162, label: algemeen";"";"info@dongen.nl, label: algemeen";"https://www.dongen.nl, label: algemeen";"";"";"";"";"https://www.werkenvoordongen.nl/pagina/werken-voor-dongen";"29,72";"";"'S Gravenmoer, Dongen";"27495";"925";"21";"Volkspartij Dongen (7);CDA (6);D66 (4);VVD (2);DongenPlus+ (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Dongen_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0766";"17274669";"";"";"";"gm0766";"Ja"
"Gemeente Dordrecht";"";"Dordrecht";"Gemeente";"";"";"";"06-06-2025";"06-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://lokaleregelgeving.overheid.nl/CVDR670844/3";"adresType: Bezoekadres, openbareRuimte: Spuiboulevard, huisnummer: 300, postcode: 3311 GR, woonplaats: DORDRECHT, provincieAfkorting: ZH, centroideLatitude: 51.81194971, centroideLongitude: 4.66148971, centroideRdx: 104955.525, centroideRdy: 425063.522;adresType: Postadres, postbus: 8, postcode: 3300 AA, woonplaats: DORDRECHT;adresType: Woo-Adres, postbus: 8, postcode: 3300 AA, woonplaats: Dordrecht";"";"";"14 078";"14 078, label: algemeen";"";"";"https://www.dordrecht.nl, label: algemeen";"";"https://cms.dordrecht.nl/Contact, taalcode: nl-NL";"";"";"https://cms.dordrecht.nl/Bestuur/Overzicht_Bestuur/Over_de_gemeente/Gemeentelijke_organisatie";"99,45";"";"Dordrecht";"122796";"1234";"39";"VVD (6);GroenLinks (6);CDA (4);Verenigde Senioren Partij (4);BETER VOOR DORDT (3);Op Ons Eiland (2);Partij voor de Dieren (2);Fractie Stam (1);Christenunie/SGP (1);Fractie van der Spoel (1);PvdA (1);DENK (1);Forum voor Democratie (1);Gewoon Dordt (1);Fractie van Leeuwen (1);SP (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Dordrecht_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0505";"50070525";"";"";"";"gm0505";"Ja"
"Gemeente Drechterland";"";"Drechterland";"Gemeente";"";"01-01-1980";"";"07-06-2025";"07-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.drechterland.nl/bestuur-en-organisatie/";"adresType: Bezoekadres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 1616 AV, woonplaats: HOOGKARSPEL, provincieAfkorting: NH, centroideLatitude: 52.69516774, centroideLongitude: 5.17844931, centroideRdx: 140887.136, centroideRdy: 523103.63;adresType: Postadres, postbus: 20, postcode: 1610 AA, woonplaats: BOVENKARSPEL;adresType: Woo-Adres, openbareRuimte: Raadhuisplein, huisnummer: 1, postcode: 1616 AV, woonplaats: Hoogkarspel, provincieAfkorting: NH, land: Nederland";"https://www.drechterland.nl/contact/";"";"";"(0228) 35 23 52, label: algemeen";"";"gemeente@drechterland.nl, label: algemeen";"https://www.drechterland.nl, label: algemeen";"";"";"";"";"https://www.sed-organisatie.nl/inrichting/";"101,44";"";"Hem, Hoogkarspel, Oosterblokker, Oosterleek, Schellinkhout, Venhuizen, Westwoud, Wijdenes";"20476";"201";"17";"CDA (4);Senioren Partij Drechterland (4);Gemeentebelangen Drechterland (3);Progressief Drechterland (3);VVD (3)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Drechterland_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0498";"37159718";"";"";"";"gm0498";"Ja"
"Gemeente Drimmelen";"";"Drimmelen";"Gemeente";"";"25-04-1998";"";"01-06-2025";"01-06-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeentelijke organisatie is ingedeeld in 4 afdelingen waar verschillende teams onder vallen. Het betreft de afdelingen: Grondgebied, Middelen, Openbare Werken en Sociaal Domein";"https://drimmelen.nl/";"adresType: Bezoekadres, openbareRuimte: Park, huisnummer: 1, postcode: 4921 BV, woonplaats: MADE, provincieAfkorting: NB, centroideLatitude: 51.67651257, centroideLongitude: 4.79533539, centroideRdx: 114062.703, centroideRdy: 409912.353;adresType: Postadres, postbus: 19, postcode: 4920 AA, woonplaats: MADE;adresType: Woo-Adres, openbareRuimte: Park, huisnummer: 1, postcode: 4921 BV, woonplaats: Made, regio: West-Brabant, provincieAfkorting: NB, land: Nederland";"https://drimmelen.nl/contact-iets-melden-klacht/openingstijden-en-contact";"gemeente@drimmelen.nl";"14 0162";"14 0162, label: algemeen";"";"gemeente@drimmelen.nl, label: algemeen";"https://www.drimmelen.nl, label: algemeen";"";"";"";"";"";"119,2";"";"Drimmelen, Hooge Zwaluwe, Lage Zwaluwe, Made, Terheijden, Wagenberg, Zevenbergschen Hoek";"28295";"237";"21";"VVD (5);Lijst Harry Bakker (5);Groen Drimmelen (VP/D66) (4);CAB (3);PvdA (1);Fractie Ad Buijs (1);CDA (1);SAMEN Drimmelen (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Drimmelen";"https://identifier.overheid.nl/tooi/id/gemeente/gm1719";"20164410";"";"";"";"gm1719";"Ja"
"Gemeente Dronten";"";"Dronten";"Gemeente";"";"";"";"12-05-2025";"12-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.dronten.nl/bestuur-organisatie/";"adresType: Bezoekadres, openbareRuimte: De Rede, huisnummer: 1, postcode: 8251 ER, woonplaats: DRONTEN, provincieAfkorting: FL, centroideLatitude: 52.52373736, centroideLongitude: 5.71650539, centroideRdx: 177349.0, centroideRdy: 504059.0;adresType: Postadres, postbus: 100, postcode: 8250 AC, woonplaats: DRONTEN;adresType: Woo-Adres, postbus: 100, postcode: 8250 AC, woonplaats: Dronten, regio: Dronten, provincieAfkorting: FL, land: Nederland";"https://dronten.mijnafspraakmaken.nl/";"";"14 0321";"14 0321, label: algemeen";"";"gemeente@dronten.nl, label: algemeen";"https://www.dronten.nl, label: algemeen";"";"";"";"";"https://www.dronten.nl/bestuur-organisatie/organogram/";"423,86";"";"Biddinghuizen, Dronten, Swifterbant";"44856";"105";"27";"Leefbaar Dronten (6);CDA (6);VVD (4);ChristenUnie (3);GroenLinks (2);D66 (2);PvdA (2);Dronten Sociaal (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Dronten_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0303";"32165460";"";"";"";"gm0303";"Ja"
"Gemeente Druten";"";"Druten";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"De gemeente Druten voert samen met de gemeente Wijchen een bedrijfsvoeringsorganisatie voor de uitvoering van de ambtelijke taken.De Werkorganisatie Druten Wijchen is een samenwerkingsverband tussen de gemeenten Druten en Wijchen. De Werkorganisatie Druten Wijchen bestaat uit vijf domeinen met zelforganiserende teams.";"https://www.werkorganisatiedrutenwijchen.nl/organisatiestructuur";"adresType: Bezoekadres, openbareRuimte: Heuvel, huisnummer: 1, postcode: 6651 DA, woonplaats: DRUTEN, provincieAfkorting: GD, centroideLatitude: 51.88865982, centroideLongitude: 5.60454954, centroideRdx: 169962.689, centroideRdy: 433370.751;adresType: Postadres, postbus: 1, postcode: 6650 AA, woonplaats: DRUTEN;adresType: Woo-Adres, postbus: 1, postcode: 6650 AA, woonplaats: Druten, provincieAfkorting: GD";"https://www.druten.nl/contactgegevens#sqr:(q%5Bafspraak%20maken%5D)";"";"(088) 432 70 00";"(088) 432 70 00, label: algemeen";"";"info@druten.nl, label: algemeen";"https://www.druten.nl, label: algemeen";"";"";"";"";"https://www.werkorganisatiedrutenwijchen.nl/data/images/2/2/6/8/organogram-wdw-extern-v2.png";"42,43";"";"Afferden GLD, Deest, Druten, Horssen, Puiflijk";"19748";"465";"17";"Kernachtig Druten (6);Dorpslijst Puiflijk/Druten-Zuid (3);Dorpslijst Horssen (2);Sociaal Maas en Waal (2);Welzijn Druten (2);Dorpslijst Afferden (2)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Druten_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0225";"30279480";"";"";"";"gm0225";"Ja"
"Gemeente Duiven";"";"Duiven";"Gemeente";"";"";"";"02-05-2025";"02-05-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.duiven.nl/bestuur-en-organisatie";"adresType: Bezoekadres, openbareRuimte: Kon Willem-Alexanderpln, huisnummer: 1, postcode: 6921 ES, woonplaats: DUIVEN, provincieAfkorting: GD, centroideLatitude: 51.94865865, centroideLongitude: 6.02474444, centroideRdx: 198831.0, centroideRdy: 440216.0;adresType: Postadres, postbus: 6, postcode: 6920 AA, woonplaats: DUIVEN;adresType: Woo-Adres, toelichting: Postadres t.b.v. Woo-verzoek (in geval digitaal indienen verzoek niet mogelijk is)., postbus: 6, postcode: 6920 AA, woonplaats: Duiven, provincieAfkorting: GLD, land: Nederland";"https://duiven.mijnafspraakmaken.nl/";"";"(0316) 27 91 11";"(0316) 27 91 11, label: algemeen";"";"gemeente@duiven.nl, label: algemeen";"https://www.duiven.nl, label: algemeen";"";"";"";"";"https://www.duiven.nl/organisatie";"35,15";"";"Duiven, Groessen, Loo";"24942";"709";"21";"Lokaal Alternatief (5);DOED (5);VVD (3);CDA (3);GroenLinks (2);BurgerBelangen (1);Pro Duiven (1);D66 (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Duiven_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0226";"09217727";"";"";"";"gm0226";"Ja"
"Gemeente Echt-Susteren";"";"Echt-Susteren";"Gemeente";"";"01-01-2003";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"";"https://www.echt-susteren.nl/gemeentelijke-organisatie";"adresType: Bezoekadres, openbareRuimte: Nieuwe Markt, huisnummer: 55, postcode: 6101 CV, woonplaats: ECHT, provincieAfkorting: LB, centroideLatitude: 51.10270025, centroideLongitude: 5.872318, centroideRdx: 188978.598, centroideRdy: 346021.684;adresType: Postadres, postbus: 450, postcode: 6100 AL, woonplaats: ECHT;adresType: Woo-Adres, postbus: 450, postcode: 6100AL, woonplaats: Echt, regio: Limburg, provincieAfkorting: Limburg, land: Nederland";"https://afspraak.echt-susteren.nl/qmaticwebbooking/#/";"info@echt-susteren.nl";"(0475) 47 84 78";"(0475) 47 84 78, label: algemeen";"";"info@echt-susteren.nl, label: algemeen";"https://www.echt-susteren.nl, label: algemeen";"";"";"";"";"https://www.echt-susteren.nl/gemeentelijke-organisatie";"103,47";"";"Echt, Koningsbosch, Maria Hoop, Nieuwstadt, Roosteren, Sint Joost, Susteren";"32269";"311";"23";"Partij Nieuw Echt-Susteren (7);Lijst Samenwerking (6);CDA (5);Democraten Echt-Susteren (3);D66 (1);GroenLinks (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Echt-Susteren";"https://identifier.overheid.nl/tooi/id/gemeente/gm1711";"51651866";"";"";"";"gm1711";"Ja"
"Gemeente Edam-Volendam";"";"Edam-Volendam";"Gemeente";"";"01-01-1975";"";"27-03-2025";"27-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Edam-Volendam maakt deel uit van de metropoolregio Amsterdam. De indrukwekkende geschiedenis, de verhalen, de cultuur, de beelden, de diversiteit (eigen(w)aardigheid) op kleinschalig niveau en tegelijkertijd de gemeenschappelijkheid op een hoger niveau, bieden een prachtige schakering in kwaliteiten. De ambtelijke organisatie van de gemeente Edam-Volendam is verdeeld in stafteams en afdelingen. Aan het hoofd van de organisatie staat de algemeen directeur / gemeentesecretaris. Als eerste adviseur van het college van B&W is hij verantwoordelijk voor de verbinding tussen de ambtelijke organisatie, het bestuur en de maatschappelijke opgaven. Daarnaast is de algemeen directeur rechtstreeks verantwoordelijk voor het aansturen van de drie stafteams. De teams Veiligheid, Bestuursondersteuning & Communicatie, en het Projectenbureau. Onder de algemeen directeur / gemeentesecretaris is de organisatie opgesplitst in vier afdelingen. De afdeling Samenleving, Ruimtelijke Ontwikkeling, Openbare Werken en Bedrijfsvoering. De afdelingen bestaan uit verschillende teams met kennis, vaardigheden en expertise op het voor hun specifieke terrein. De afdelingen hebben een eigen afdelingshoofd.";"https://www.edam-volendam.nl/openwoo-search/result/269c7330-870e-4d32-a173-9280505f0277";"adresType: Bezoekadres, openbareRuimte: W. van der Knoopdreef, huisnummer: 1, postcode: 1132 KN, woonplaats: VOLENDAM, provincieAfkorting: NH, centroideLatitude: 52.5008465, centroideLongitude: 5.05433445, centroideRdx: 132397.0, centroideRdy: 501513.0;adresType: Postadres, postbus: 180, postcode: 1130 AD, woonplaats: VOLENDAM;adresType: Woo-Adres, openbareRuimte: W van der Knoopdreef, huisnummer: 1, postbus: 180, postcode: 1132KN, woonplaats: Volendam, provincieAfkorting: NH, centroideLatitude: 52.5008465, centroideLongitude: 5.05433438, centroideRdx: 132397.0, centroideRdy: 501513.0";"https://www.edam-volendam.nl/contact-0";"info@edam-volendam.nl";"(0299) 39 83 98";"(0299) 39 83 98, label: algemeen";"";"info@edam-volendam.nl, label: algemeen";"https://www.edam-volendam.nl, label: algemeen";"";"";"";"";"https://www.edam-volendam.nl/openwoo-search/result/269c7330-870e-4d32-a173-9280505f0277";"24,79";"";"Beets, Edam, Hobrede, Kwadijk, Middelie, Oosthuizen, Purmer, Schardam, Volendam, Warder";"37140";"1498";"25";"Volendam | 80 (7);CDA (3);Zeevangs Belang (3);Lijst Kras (3);GroenLinks (3);VVD (2);BVNL (2);Forum voor Democratie (1);PvdA (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Edam-Volendam";"https://identifier.overheid.nl/tooi/id/gemeente/gm0385";"64973395";"";"";"";"gm0385";"Ja"
"Gemeente Ede";"";"Ede";"Gemeente";"";"";"";"16-03-2025";"16-03-2025";"CAO, wettelijke-grondslagen: https://www.caogemeenten.nl/, opschrift: CAO Gemeenten;Overheidswerkgever, externe-url: https://www.wnra.nl/, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0001947, opschrift: Ambtenarenwet 2017;WNT-instelling, externe-url: https://www.topinkomens.nl/voor-wnt-instellingen/wnt-register, wettelijke-grondslagen: http://wetten.overheid.nl/jci1.3:c:BWBR0032249&paragraaf=1&artikel=1.2&lid=1, opschrift: Gemeenten (Artikel 1.2, lid 1c, WNT);Woo, externe-url: https://www.rijksoverheid.nl/onderwerpen/wet-open-overheid-woo, wettelijke-grondslagen: https://wetten.overheid.nl/BWBR0045754, opschrift: Wet open overheid";"";"Bij de gemeente Ede werken ongeveer 1000 mensen (950 fte), exclusief mensen die we inhuren. De gemeentelijke organisatie bestaat uit een concerndirectie (de gemeentesecretaris/algemeen directeur en drie concerndirecteuren) en 32 afdelingen.";"https://www.ede.nl/bestuur-en-organisatie/organisatie";"adresType: Bezoekadres, openbareRuimte: Bergstraat, huisnummer: 4, postcode: 6711 DD, woonplaats: EDE GLD, provincieAfkorting: GD, centroideLatitude: 52.04566037, centroideLongitude: 5.67519801, centroideRdx: 174757.0, centroideRdy: 450855.0;adresType: Postadres, postbus: 9022, postcode: 6710 HK, woonplaats: EDE GLD;adresType: Woo-Adres, openbareRuimte: Bergstraat, huisnummer: 4, postcode: 6711DD, woonplaats: Ede, provincieAfkorting: GLD, land: Nederland";"https://www.ede.nl/contact";"";"";"14 0318, label: algemeen";"";"info@ede.nl, label: algemeen";"https://www.ede.nl, label: algemeen";"";"";"";"";"";"318,6";"";"Bennekom, De Klomp, Deelen, Ede, Ederveen, Harskamp, Hoenderloo, Lunteren, Otterlo, Wekerom";"124214";"389";"39";"SGP (7);ChristenUnie (6);GemeenteBelangen (5);D66 (4);CDA (4);Burgerbelangen (3);GroenLinks (3);VVD (2);PvdA (2);Democratische Partij Ede (1);Mens en Milieu Ede (1);Forum voor Democratie (1)";"";"";"";"http://standaarden.overheid.nl/owms/terms/Ede_(gemeente)";"https://identifier.overheid.nl/tooi/id/gemeente/gm0228";"09215646";"";"";"";"gm0228";"Ja"
